0,0.392,0.22,0.411,0.032,0.099,0.282,0.3,0.61,0.091,0.762,0.238,0.235,0.765,0.304,0.696,0.666,0.334,0.84,0.16,0.351,0.198,0.156,0.945,0.055,1,1,0.2541,7.607
0,0.028,0.117,0.405,0.002,0.204,0.199,0.264,0.618,0.118,0.644,0.356,0.257,0.743,0.357,0.643,0.457,0.543,0.684,0.316,0.042,0.318,0.132,0.951,0.049,0,0,1.196e-10,4.137
0,0.049,0.152,0.623,0.005,0.263,0.356,0.602,0.302,0.096,0.88,0.12,0.216,0.784,0.372,0.628,0.688,0.312,0.91,0.09,0.111,0.046,0.658,0.967,0.033,1,1,2.413,3.663
0,0.498,0.001,0.48,0.016,0.045,0.423,0.377,0.514,0.108,0.74,0.26,0.239,0.761,0.317,0.683,0.679,0.321,0.829,0.171,0.403,0.106,0.085,0.96,0.04,0,0,11.53,12.11
0,0.342,0.332,0.334,0.003,0.143,0.189,0.2,0.703,0.097,0.842,0.158,0.131,0.869,0.431,0.569,0.692,0.308,0.907,0.093,0.603,0.059,0.038,0.958,0.042,1,1,1.772,15.32
0,0.0,0.084,0.372,0.048,0.167,0.178,0.21,0.681,0.109,0.71,0.29,0.148,0.852,0.471,0.529,0.608,0.392,0.798,0.202,0.318,0.022,0.094,0.888,0.112,0,0,21.04,8.5
0,0.092,0.058,0.237,0.004,0.103,0.131,0.084,0.863,0.052,0.617,0.383,0.27,0.73,0.286,0.714,0.695,0.305,0.734,0.266,0.734,0.207,0.122,0.939,0.061,1,1,4.479,7.754
0,0.0,0.609,0.136,0.003,0.028,0.105,0.045,0.927,0.028,0.799,0.201,0.139,0.861,0.406,0.594,0.868,0.132,0.929,0.071,0.238,0.25,0.296,0.831,0.169,0,0,2.209,7.279
1,0.0,0.002,0.21,0.01,0.074,0.128,0.075,0.878,0.047,0.696,0.304,0.157,0.843,0.371,0.629,0.68,0.32,0.831,0.169,0.864,0.201,0.126,0.923,0.077,0,0,5.58e-33,3.22
1,0.033,0.0,0.25,0.002,0.138,0.11,0.144,0.807,0.048,0.654,0.346,0.19,0.81,0.398,0.602,0.631,0.369,0.774,0.226,0.652,0.288,0.197,0.903,0.097,1,0,3.574,6.467
1,0.014,0.461,0.353,0.001,0.132,0.22,0.209,0.703,0.088,0.557,0.443,0.231,0.769,0.399,0.601,0.415,0.585,0.609,0.391,0.159,0.215,0.191,0.969,0.031,0,1,0.1088,8.696
1,0.17,0.124,0.818,0.074,0.243,0.525,0.887,0.063,0.05,0.427,0.573,0.551,0.449,0.188,0.812,0.257,0.743,0.368,0.632,0.169,0.197,0.133,0.985,0.015,0,0,6.658e-05,7.059
1,0.381,0.026,0.633,0.002,0.171,0.46,0.621,0.274,0.104,0.535,0.465,0.38,0.62,0.273,0.727,0.319,0.681,0.522,0.478,0.191,0.244,0.191,0.975,0.025,1,0,0.2246,4.818
1,0.0,0.338,0.383,0.002,0.053,0.329,0.267,0.65,0.083,0.847,0.153,0.124,0.876,0.403,0.597,0.714,0.286,0.917,0.083,0.058,0.169,0.16,0.93,0.07,0,0,44.9,18.39
1,0.108,0.331,0.59,0.001,0.241,0.348,0.544,0.363,0.093,0.535,0.465,0.349,0.651,0.323,0.677,0.403,0.597,0.568,0.432,0.388,0.159,0.182,0.967,0.033,1,1,7.863,35.2
1,0.268,0.068,0.263,0.029,0.081,0.157,0.122,0.819,0.06,0.798,0.202,0.193,0.807,0.399,0.601,0.739,0.261,0.885,0.115,0.268,0.213,0.131,0.964,0.036,1,1,0.007634,7.924
1,0.471,0.8,0.564,0.002,0.07,0.493,0.523,0.369,0.108,0.817,0.183,0.204,0.796,0.337,0.663,0.609,0.391,0.856,0.144,0.337,0.071,0.11,0.973,0.027,0,0,2.968,19.16
1,0.002,0.029,0.256,0.003,0.023,0.23,0.082,0.85,0.068,0.822,0.178,0.182,0.818,0.334,0.666,0.765,0.235,0.921,0.079,0.101,0.061,0.054,0.972,0.028,1,1,3.471,7.085
1,0.013,0.064,0.159,0.003,0.045,0.112,0.028,0.94,0.032,0.564,0.436,0.156,0.844,0.463,0.537,0.576,0.424,0.728,0.272,0.484,0.312,0.296,0.965,0.035,0,0,7.213,3.783
