0,0.132,0.144,0.602,0.001,0.053,0.548,0.578,0.326,0.095,0.827,0.174,0.088,0.912,0.423,0.577,0.507,0.493,0.744,0.256,0.024,0.094,0.049,0.981,0.019,0,1,3.126,3.988
0,0.0,0.855,0.315,0.006,0.073,0.237,0.14,0.773,0.087,0.746,0.255,0.078,0.922,0.429,0.571,0.53,0.47,0.736,0.264,0.035,0.281,0.449,0.975,0.025,0,0,4.957,9.842
0,0.0,0.341,0.573,0.002,0.269,0.303,0.515,0.367,0.118,0.544,0.458,0.17,0.83,0.315,0.685,0.298,0.702,0.434,0.566,0.306,0.343,0.262,0.979,0.021,0,0,1.873e-05,2.988
0,0.022,0.29,0.423,0.001,0.03,0.392,0.294,0.589,0.118,0.659,0.342,0.117,0.883,0.351,0.649,0.533,0.467,0.635,0.365,0.052,0.088,0.063,0.969,0.031,0,0,3.009,9.233
0,0.291,0.159,0.407,0.003,0.021,0.384,0.286,0.62,0.094,0.543,0.458,0.168,0.832,0.33,0.67,0.519,0.481,0.534,0.466,0.439,0.098,0.046,0.974,0.026,1,1,19.97,7.141
0,0.564,0.101,0.417,0.016,0.248,0.159,0.333,0.575,0.092,0.817,0.183,0.099,0.901,0.343,0.657,0.604,0.396,0.802,0.198,0.802,0.211,0.216,0.97,0.03,1,1,0.03042,11.3
0,0.177,0.123,0.442,0.004,0.06,0.378,0.31,0.573,0.117,0.714,0.287,0.248,0.752,0.249,0.751,0.515,0.485,0.67,0.33,0.433,0.176,0.061,0.982,0.018,1,0,0.05732,5.118
0,0.209,0.07,0.701,0.04,0.231,0.437,0.73,0.202,0.068,0.777,0.225,0.163,0.837,0.289,0.711,0.474,0.526,0.686,0.314,0.436,0.258,0.209,0.981,0.019,1,1,0.08308,11.48
0,0.028,0.725,0.331,0.0,0.124,0.207,0.217,0.713,0.07,0.799,0.202,0.206,0.794,0.312,0.688,0.785,0.215,0.828,0.172,0.132,0.061,0.038,0.987,0.013,0,0,7.225,6.576
0,0.067,0.075,0.116,0.0,0.018,0.098,0.042,0.93,0.028,0.708,0.292,0.102,0.898,0.293,0.707,0.877,0.123,0.81,0.19,0.184,0.126,0.071,0.967,0.033,0,0,10.83,13.07
0,0.006,0.539,0.204,0.0,0.129,0.075,0.057,0.896,0.047,0.661,0.34,0.121,0.879,0.38,0.62,0.699,0.301,0.731,0.269,0.612,0.287,0.163,0.975,0.025,0,0,6.072,12.31
0,0.311,0.528,0.503,0.004,0.222,0.279,0.42,0.468,0.112,0.848,0.153,0.125,0.875,0.326,0.674,0.712,0.288,0.855,0.145,0.747,0.058,0.384,0.979,0.021,0,0,26.92,6.525
0,0.167,0.494,0.666,0.0,0.257,0.41,0.658,0.233,0.108,0.694,0.306,0.288,0.712,0.245,0.755,0.494,0.506,0.601,0.399,0.5,0.331,0.793,0.987,0.013,0,0,0.5657,9.446
0,0.0,0.471,0.387,0.002,0.014,0.371,0.231,0.663,0.106,0.829,0.172,0.074,0.926,0.386,0.614,0.651,0.349,0.807,0.193,0.022,0.09,0.484,0.969,0.031,0,0,0.7513,5.323
0,0.024,0.366,0.531,0.002,0.299,0.231,0.463,0.418,0.12,0.847,0.154,0.217,0.783,0.245,0.755,0.613,0.387,0.802,0.198,0.604,0.32,0.816,0.985,0.015,1,0,2.526,6.382
1,0.446,0.297,0.282,0.002,0.123,0.157,0.113,0.81,0.077,0.767,0.234,0.06,0.94,0.451,0.549,0.49,0.51,0.712,0.288,0.084,0.178,0.045,0.98,0.02,1,1,15.29,5.705
1,0.0,0.396,0.82,0.121,0.18,0.579,0.868,0.078,0.054,0.808,0.193,0.106,0.894,0.352,0.648,0.466,0.534,0.691,0.309,0.097,0.013,0.05,0.977,0.023,0,0,12.86,10.52
1,0.054,0.428,0.573,0.001,0.197,0.376,0.514,0.365,0.121,0.549,0.452,0.15,0.85,0.274,0.726,0.344,0.656,0.434,0.566,0.112,0.225,0.167,0.981,0.019,0,0,6.759,10.35
1,0.434,0.207,0.567,0.01,0.165,0.394,0.509,0.378,0.113,0.82,0.181,0.162,0.838,0.316,0.684,0.571,0.429,0.775,0.225,0.409,0.147,0.194,0.989,0.011,1,1,4.962,15.91
1,0.015,0.282,0.376,0.002,0.213,0.163,0.245,0.657,0.098,0.583,0.417,0.079,0.921,0.435,0.565,0.434,0.566,0.549,0.451,0.579,0.362,0.25,0.976,0.024,0,0,8.699,5.906
1,0.0,0.938,0.535,0.002,0.006,0.527,0.475,0.403,0.121,0.699,0.301,0.088,0.912,0.405,0.595,0.487,0.513,0.628,0.372,0.036,0.028,0.44,0.947,0.053,0,0,1.979,5.565
1,0.009,0.235,0.613,0.006,0.14,0.468,0.6,0.286,0.114,0.78,0.221,0.152,0.848,0.298,0.702,0.617,0.383,0.764,0.236,0.241,0.106,0.057,0.982,0.018,1,1,8.613,10.75
1,0.003,0.22,0.351,0.0,0.042,0.309,0.212,0.697,0.091,0.788,0.213,0.085,0.915,0.378,0.622,0.736,0.264,0.832,0.168,0.523,0.101,0.04,0.972,0.028,0,0,14.99,11.95
1,0.0,0.374,0.113,0.0,0.019,0.094,0.034,0.943,0.023,0.575,0.426,0.096,0.904,0.445,0.555,0.881,0.119,0.8,0.2,0.266,0.31,0.198,0.965,0.035,1,1,41.5,10.06
1,0.0,0.402,0.456,0.145,0.138,0.266,0.403,0.559,0.039,0.87,0.13,0.075,0.925,0.376,0.624,0.8,0.2,0.921,0.079,0.04,0.13,0.101,0.968,0.032,0,0,1.27,14.09
1,0.0,0.685,0.249,0.001,0.026,0.222,0.094,0.839,0.067,0.754,0.246,0.037,0.963,0.474,0.526,0.573,0.427,0.76,0.24,0.063,0.152,0.127,0.939,0.061,0,0,27.49,14.05
1,0.329,0.136,0.231,0.002,0.146,0.085,0.095,0.856,0.049,0.721,0.279,0.123,0.877,0.348,0.652,0.662,0.338,0.754,0.246,0.371,0.294,0.156,0.976,0.024,0,0,0.8177,4.971
1,0.004,0.412,0.716,0.0,0.118,0.598,0.755,0.163,0.082,0.686,0.314,0.165,0.835,0.277,0.723,0.361,0.639,0.523,0.477,0.035,0.115,0.212,0.99,0.01,0,0,11.01,8.15
1,0.0,0.036,0.483,0.0,0.084,0.399,0.38,0.493,0.126,0.894,0.106,0.062,0.938,0.404,0.596,0.658,0.342,0.869,0.131,0.152,0.173,0.163,0.979,0.021,0,0,1.938,13.54
1,0.0,0.416,0.104,0.0,0.015,0.089,0.006,0.98,0.014,0.78,0.221,0.067,0.933,0.477,0.523,0.845,0.155,0.876,0.124,0.039,0.181,0.237,0.955,0.045,0,0,13.69,8.328
