0,0.392,0.22,0.411,0.032,0.099,0.282,0.3,0.61,0.091,0.762,0.238,0.235,0.765,0.304,0.696,0.666,0.334,0.84,0.16,0.351,0.198,0.156,0.945,0.055,1,1,0.2541,7.607
0,0.028,0.117,0.405,0.002,0.204,0.199,0.264,0.618,0.118,0.644,0.356,0.257,0.743,0.357,0.643,0.457,0.543,0.684,0.316,0.042,0.318,0.132,0.951,0.049,0,0,1.196e-10,4.137
0,0.049,0.152,0.623,0.005,0.263,0.356,0.602,0.302,0.096,0.88,0.12,0.216,0.784,0.372,0.628,0.688,0.312,0.91,0.09,0.111,0.046,0.658,0.967,0.033,1,1,2.413,3.663
0,0.498,0.001,0.48,0.016,0.045,0.423,0.377,0.514,0.108,0.74,0.26,0.239,0.761,0.317,0.683,0.679,0.321,0.829,0.171,0.403,0.106,0.085,0.96,0.04,0,0,11.53,12.11
0,0.342,0.332,0.334,0.003,0.143,0.189,0.2,0.703,0.097,0.842,0.158,0.131,0.869,0.431,0.569,0.692,0.308,0.907,0.093,0.603,0.059,0.038,0.958,0.042,1,1,1.772,15.32
0,0.0,0.084,0.372,0.048,0.167,0.178,0.21,0.681,0.109,0.71,0.29,0.148,0.852,0.471,0.529,0.608,0.392,0.798,0.202,0.318,0.022,0.094,0.888,0.112,0,0,21.04,8.5
0,0.092,0.058,0.237,0.004,0.103,0.131,0.084,0.863,0.052,0.617,0.383,0.27,0.73,0.286,0.714,0.695,0.305,0.734,0.266,0.734,0.207,0.122,0.939,0.061,1,1,4.479,7.754
0,0.0,0.609,0.136,0.003,0.028,0.105,0.045,0.927,0.028,0.799,0.201,0.139,0.861,0.406,0.594,0.868,0.132,0.929,0.071,0.238,0.25,0.296,0.831,0.169,0,0,2.209,7.279
1,0.001,0.245,0.304,0.002,0.088,0.214,0.162,0.762,0.076,0.583,0.417,0.192,0.808,0.38,0.62,0.502,0.498,0.668,0.332,0.332,0.054,0.044,0.922,0.078,0,0,19.11,16.75
1,0.0,0.522,0.373,0.001,0.079,0.293,0.204,0.684,0.112,0.646,0.354,0.143,0.857,0.463,0.537,0.618,0.382,0.73,0.27,0.061,0.106,0.161,0.838,0.162,0,0,2.002,7.688
1,0.0,0.29,0.355,0.003,0.033,0.32,0.201,0.703,0.096,0.786,0.214,0.138,0.862,0.407,0.593,0.698,0.302,0.858,0.142,0.145,0.098,0.122,0.872,0.128,0,0,27.71,16.46
1,0.014,0.44,0.293,0.006,0.07,0.22,0.141,0.781,0.078,0.838,0.162,0.135,0.865,0.427,0.573,0.813,0.187,0.921,0.079,0.137,0.154,0.146,0.913,0.087,0,0,5.625,7.79
1,0.0,0.248,0.488,0.052,0.093,0.351,0.39,0.486,0.124,0.652,0.348,0.25,0.75,0.3,0.7,0.543,0.457,0.691,0.309,0.071,0.144,0.131,0.963,0.037,0,0,0.4908,15.94
1,0.003,0.204,0.16,0.0,0.026,0.134,0.034,0.929,0.037,0.754,0.246,0.134,0.866,0.384,0.616,0.824,0.176,0.847,0.153,0.455,0.114,0.046,0.859,0.141,0,0,8.358,4.839
1,0.605,0.014,0.707,0.007,0.349,0.352,0.734,0.183,0.084,0.502,0.498,0.386,0.614,0.246,0.754,0.276,0.724,0.45,0.55,0.212,0.384,0.221,0.978,0.022,0,0,2.848,6.591
1,0.0,0.418,0.329,0.001,0.089,0.24,0.189,0.724,0.087,0.884,0.116,0.112,0.888,0.394,0.606,0.757,0.243,0.955,0.045,0.243,0.018,0.029,0.802,0.198,1,0,8.746,5.311
1,0.0,0.547,0.492,0.001,0.374,0.118,0.401,0.492,0.106,0.58,0.42,0.239,0.761,0.348,0.652,0.398,0.602,0.606,0.394,0.747,0.527,0.414,0.96,0.04,0,0,4.121,12.38
1,0.655,0.154,0.372,0.007,0.191,0.175,0.215,0.672,0.114,0.605,0.395,0.277,0.723,0.271,0.729,0.545,0.455,0.663,0.337,0.377,0.209,0.142,0.962,0.038,1,0,9.814,11.01
1,0.0,0.517,0.516,0.001,0.051,0.465,0.423,0.439,0.139,0.667,0.333,0.172,0.828,0.376,0.624,0.505,0.495,0.679,0.321,0.042,0.013,0.115,0.955,0.045,0,0,8.557,8.822
