0,0.001,0.245,0.304,0.002,0.088,0.214,0.162,0.762,0.076,0.583,0.417,0.192,0.808,0.38,0.62,0.502,0.498,0.668,0.332,0.332,0.054,0.044,0.922,0.078,0,0,19.11,16.75
0,0.0,0.522,0.373,0.001,0.079,0.293,0.204,0.684,0.112,0.646,0.354,0.143,0.857,0.463,0.537,0.618,0.382,0.73,0.27,0.061,0.106,0.161,0.838,0.162,0,0,2.002,7.688
0,0.0,0.29,0.355,0.003,0.033,0.32,0.201,0.703,0.096,0.786,0.214,0.138,0.862,0.407,0.593,0.698,0.302,0.858,0.142,0.145,0.098,0.122,0.872,0.128,0,0,27.71,16.46
0,0.014,0.44,0.293,0.006,0.07,0.22,0.141,0.781,0.078,0.838,0.162,0.135,0.865,0.427,0.573,0.813,0.187,0.921,0.079,0.137,0.154,0.146,0.913,0.087,0,0,5.625,7.79
0,0.0,0.248,0.488,0.052,0.093,0.351,0.39,0.486,0.124,0.652,0.348,0.25,0.75,0.3,0.7,0.543,0.457,0.691,0.309,0.071,0.144,0.131,0.963,0.037,0,0,0.4908,15.94
0,0.003,0.204,0.16,0.0,0.026,0.134,0.034,0.929,0.037,0.754,0.246,0.134,0.866,0.384,0.616,0.824,0.176,0.847,0.153,0.455,0.114,0.046,0.859,0.141,0,0,8.358,4.839
0,0.605,0.014,0.707,0.007,0.349,0.352,0.734,0.183,0.084,0.502,0.498,0.386,0.614,0.246,0.754,0.276,0.724,0.45,0.55,0.212,0.384,0.221,0.978,0.022,0,0,2.848,6.591
0,0.0,0.418,0.329,0.001,0.089,0.24,0.189,0.724,0.087,0.884,0.116,0.112,0.888,0.394,0.606,0.757,0.243,0.955,0.045,0.243,0.018,0.029,0.802,0.198,1,0,8.746,5.311
0,0.0,0.547,0.492,0.001,0.374,0.118,0.401,0.492,0.106,0.58,0.42,0.239,0.761,0.348,0.652,0.398,0.602,0.606,0.394,0.747,0.527,0.414,0.96,0.04,0,0,4.121,12.38
0,0.655,0.154,0.372,0.007,0.191,0.175,0.215,0.672,0.114,0.605,0.395,0.277,0.723,0.271,0.729,0.545,0.455,0.663,0.337,0.377,0.209,0.142,0.962,0.038,1,0,9.814,11.01
0,0.0,0.517,0.516,0.001,0.051,0.465,0.423,0.439,0.139,0.667,0.333,0.172,0.828,0.376,0.624,0.505,0.495,0.679,0.321,0.042,0.013,0.115,0.955,0.045,0,0,8.557,8.822
1,0.328,0.185,0.375,0.002,0.221,0.153,0.246,0.657,0.097,0.797,0.203,0.188,0.812,0.369,0.631,0.629,0.371,0.856,0.144,0.216,0.255,0.232,0.962,0.038,1,1,2.989,11.59
1,0.494,0.125,0.641,0.0,0.423,0.218,0.62,0.262,0.118,0.359,0.641,0.42,0.58,0.25,0.75,0.2,0.8,0.309,0.691,0.512,0.191,0.215,0.941,0.059,0,0,15.17,5.719
1,0.361,0.02,0.708,0.002,0.553,0.155,0.728,0.201,0.072,0.437,0.563,0.4,0.6,0.274,0.726,0.288,0.712,0.424,0.576,0.817,0.265,0.275,0.977,0.023,0,0,20.54,11.95
1,0.0,0.25,0.491,0.001,0.33,0.16,0.392,0.479,0.129,0.414,0.586,0.234,0.766,0.353,0.647,0.265,0.735,0.402,0.598,0.516,0.367,0.366,0.959,0.041,0,0,10.76,10.48
1,0.094,0.028,0.259,0.004,0.1,0.156,0.131,0.806,0.063,0.763,0.237,0.238,0.762,0.406,0.594,0.74,0.26,0.865,0.135,0.329,0.137,0.093,0.976,0.024,0,0,1.536,7.334
1,0.302,0.022,0.52,0.002,0.1,0.419,0.454,0.45,0.096,0.57,0.43,0.362,0.638,0.321,0.679,0.425,0.575,0.607,0.393,0.068,0.288,0.392,0.97,0.03,1,0,8.579,6.27
1,0.0,0.111,0.453,0.018,0.147,0.295,0.327,0.542,0.131,0.723,0.277,0.155,0.845,0.419,0.581,0.63,0.37,0.81,0.19,0.276,0.233,0.319,0.901,0.099,0,0,24.09,9.764
1,0.021,0.846,0.419,0.01,0.039,0.374,0.315,0.597,0.088,0.852,0.148,0.207,0.793,0.37,0.63,0.718,0.282,0.899,0.101,0.072,0.076,0.095,0.873,0.127,0,0,38.71,20.8
1,0.693,0.015,0.471,0.002,0.219,0.251,0.378,0.513,0.109,0.703,0.297,0.146,0.854,0.378,0.622,0.476,0.524,0.753,0.247,0.324,0.41,0.312,0.934,0.066,1,1,6.403,6.768
