V1,V2,V3,V4,V5,V6,V7,Names
5,2.40705816942603,1.93243114130295,-1.38043727013139,6.19455360898345,1.55154764391926,0.212907112090661,CD8+_Lympho
9,12.5850919504348,4.65691038760754,3.45771531149354,21.712468589376,7.30326440687958,0.0068829447870669,equal_neighbors(lympho_and_other)
22,3.26479900969601,1.76644964154245,-0.19737866823087,6.72697668762289,3.41594113520678,0.064569585707805,caspase+_Freq.
