"V1","V2","V3","V4","V5","V6","V7"
1,-1.15661238596716,1.38783461072336,-3.87671823948311,1.5634934675488,0.694544776662827,0.404622822191853
5,-6.61006434718445,2.51082924674613,-11.5311992421367,-1.68892945223222,6.93069866609267,0.00847285836368535
6,1.18230400090575,1.16442467260145,-1.09992642010292,3.46453442191443,1.0309450565658,0.309936804396525
9,-117.086899681288,3.97744251665388,-124.882543764508,-109.291255598068,866.580255227142,1.80727590961221e-190
14,13.0000947844033,0.91592746509206,11.2049099403718,14.7952796284348,201.451670731848,1.00704861437199e-45
16,-9.34541745689699,0.529938405066824,-10.3840776448526,-8.30675726894141,310.990142420298,1.32901512239187e-69
17,0.185814895863952,0.846293173159836,-1.47288924389144,1.84451903561935,0.0482080292146562,0.826211300205166
20,-2.15110151155954,0.842103781234454,-3.80159459402406,-0.500608429095011,6.5251511469643,0.0106359510108674
23,73.9616553285437,0.361943702637098,73.2522587069439,74.6710519501435,41757.1832343742,0
26,-2.74566015737748,0.542141981336773,-3.80823891530474,-1.68308139945021,25.6488256873631,4.09544635554355e-07
28,0.121560806009901,0.0296769697358294,0.0633950141573906,0.179726597862412,16.7783030513062,4.20109188235333e-05
